,skin_agg,gender_agg,skin,gender,skin_group,annId,area,split
500478,"['Unsure', 'Unsure', '3']","['Unsure', 'Unsure', 'Male']",Unsure,Unsure,Unsure,9.00101E+11,11246,val
97988,"['2', '3', '3']","['Male', 'Male', 'Male']",3,Male,Light,9.001E+11,34309,val
84270,"['Unsure', 'Unsure', 'Unsure']","['Unsure', 'Unsure', 'Unsure']",Unsure,Unsure,Unsure,9.001E+11,23515,val
79969,"['Unsure', 'Unsure', 'Unsure']","['Unsure', 'Unsure', 'Unsure']",Unsure,Unsure,Unsure,9.001E+11,89612,val
78748,"['Unsure', '1', 'Unsure']","['Unsure', 'Unsure', 'Unsure']",Unsure,Unsure,Unsure,9.001E+11,14933,val
76468,"['6', '6', '5']","['Female', 'Female', 'Female']",6,Female,Dark,9.001E+11,110914,val
72795,"['Unsure', 'Unsure', 'Unsure']","['Unsure', 'Unsure', 'Unsure']",Unsure,Unsure,Unsure,9.001E+11,178580,val
65798,"['Unsure', 'Unsure', 'Unsure']","['Unsure', 'Unsure', 'Unsure']",Unsure,Unsure,Unsure,9.001E+11,112692,val
65798,"['3', '3']","['Male', 'Male']",3,Male,Light,9.001E+11,112692,val
65455,"['Unsure', '1', 'Unsure']","['Unsure', 'Unsure', 'Unsure']",Unsure,Unsure,Unsure,9.001E+11,13346,val
65288,"['3', '2', 'Unsure']","['Unsure', 'Unsure', 'Unsure']",,Unsure,,9.001E+11,19271,val
60886,"['Unsure', '3', 'Unsure']","['Unsure', 'Male', 'Unsure']",Unsure,Unsure,Unsure,9.001E+11,12254,val
59635,"['Unsure', 'Unsure', '1']","['Unsure', 'Unsure', 'Male']",Unsure,Unsure,Unsure,9.001E+11,24476,val
59044,"['2', 'Unsure', '2']","['Female', 'Unsure', 'Female']",2,Female,Light,9.001E+11,6714,val
2299,"['Unsure', '1', 'Unsure', 'Unsure', 'Unsure']","['Unsure', 'Unsure', 'Unsure', 'Unsure', 'Unsure']",Unsure,Unsure,Unsure,9.001E+11,87090,val
5001,"['1', 'Unsure', '2']","['Unsure', 'Female', 'Female']",,Female,,9.001E+11,10841,val
5586,"['Unsure', 'Unsure', '2']","['Unsure', 'Unsure', 'Male']",Unsure,Unsure,Unsure,9.001E+11,32877,val
12120,"['Unsure', '2', 'Unsure']","['Unsure', 'Female', 'Unsure']",Unsure,Unsure,Unsure,9.001E+11,36639,val
12670,"['Unsure', 'Unsure', 'Unsure']","['Unsure', 'Unsure', 'Unsure']",Unsure,Unsure,Unsure,9.001E+11,147779,val
14439,"['Unsure', 'Unsure', '3']","['Unsure', 'Unsure', 'Unsure']",Unsure,Unsure,Unsure,9.001E+11,5646,val
16228,"['Unsure', 'Unsure', '2']","['Unsure', 'Unsure', 'Unsure']",Unsure,Unsure,Unsure,9.001E+11,9419,val
17959,"['Unsure', 'Unsure', 'Unsure']","['Unsure', 'Unsure', 'Unsure']",Unsure,Unsure,Unsure,9.001E+11,23866,val
18380,"['Unsure', '1', 'Unsure']","['Unsure', 'Unsure', 'Unsure']",Unsure,Unsure,Unsure,9.001E+11,13422,val
24021,"['Unsure', 'Unsure', 'Unsure']","['Unsure', 'Unsure', 'Unsure']",Unsure,Unsure,Unsure,9.001E+11,187804,val
36494,"['Unsure', 'Unsure', 'Unsure']","['Unsure', 'Unsure', 'Unsure']",Unsure,Unsure,Unsure,9.001E+11,17142,val
37689,"['Unsure', 'Unsure']","['Unsure', 'Unsure']",Unsure,Unsure,Unsure,9.001E+11,34433,val
39405,"['Unsure', 'Unsure', 'Unsure']","['Unsure', 'Unsure', 'Unsure']",Unsure,Unsure,Unsure,9.001E+11,43884,val
57597,"['Unsure', 'Unsure']","['Unsure', 'Unsure']",Unsure,Unsure,Unsure,9.001E+11,9758,val
57597,"['Unsure', 'Unsure', 'Unsure']","['Unsure', 'Unsure', 'Unsure']",Unsure,Unsure,Unsure,9.001E+11,9758,val
85682,"['Unsure', 'Unsure']","['Unsure', 'Unsure']",Unsure,Unsure,Unsure,9.001E+11,7406,val
87038,"['Unsure', 'Unsure', 'Unsure']","['Unsure', 'Unsure', 'Unsure']",Unsure,Unsure,Unsure,9.001E+11,6443,val
95862,"['Unsure', 'Unsure', 'Unsure']","['Unsure', 'Unsure', 'Unsure']",Unsure,Unsure,Unsure,9.001E+11,32699,val
98853,"['3', 'Unsure', 'Unsure']","['Male', 'Unsure', 'Unsure']",Unsure,Unsure,Unsure,9.001E+11,46051,val
100723,"['Unsure', 'Unsure', '2']","['Unsure', 'Unsure', 'Unsure']",Unsure,Unsure,Unsure,9.001E+11,45519,val
114907,"['Unsure', 'Unsure']","['Unsure', 'Unsure']",Unsure,Unsure,Unsure,9.001E+11,63783,val
114907,"['1', 'Unsure', 'Unsure']","['Female', 'Unsure', 'Unsure']",Unsure,Unsure,Unsure,9.001E+11,63783,val
117492,"['Unsure', '1', 'Unsure']","['Unsure', 'Male', 'Unsure']",Unsure,Unsure,Unsure,9.001E+11,21909,val
122962,"['Unsure', 'Unsure']","['Unsure', 'Unsure']",Unsure,Unsure,Unsure,9.001E+11,60099,val
139099,"['Unsure', 'Unsure', 'Unsure']","['Unsure', 'Unsure', 'Unsure']",Unsure,Unsure,Unsure,9.001E+11,12453,val
141671,"['Unsure', 'Unsure', 'Unsure']","['Unsure', 'Unsure', 'Unsure']",Unsure,Unsure,Unsure,9.001E+11,5893,val
142324,"['5', '4', '5']","['Unsure', 'Unsure', 'Unsure']",5,Unsure,Dark,9.001E+11,15889,val
143572,"['Unsure', 'Unsure', '1']","['Unsure', 'Unsure', 'Male']",Unsure,Unsure,Unsure,9.001E+11,5676,val
143961,"['Unsure', 'Unsure', 'Unsure']","['Unsure', 'Unsure', 'Unsure']",Unsure,Unsure,Unsure,9.001E+11,139246,val
148508,"['Unsure', 'Unsure', 'Unsure']","['Unsure', 'Unsure', 'Unsure']",Unsure,Unsure,Unsure,9.001E+11,37117,val
153669,"['Unsure', '2', '1', 'Unsure']","['Unsure', 'Male', 'Male', 'Unsure']",Unsure,Unsure,Unsure,9.001E+11,56052,val
154004,"['4', 'Unsure', '3']","['Unsure', 'Unsure', 'Unsure']",,Unsure,,9.001E+11,19102,val
156071,"['Unsure', 'Unsure', 'Unsure']","['Unsure', 'Unsure', 'Unsure']",Unsure,Unsure,Unsure,9.001E+11,67490,val
163057,"['Unsure', '1', '2']","['Unsure', 'Male', 'Male']",,Male,,9.001E+11,16919,val
169169,"['Unsure', 'Unsure', 'Unsure']","['Unsure', 'Unsure', 'Unsure']",Unsure,Unsure,Unsure,9.001E+11,7597,val
182923,"['Unsure', '1', 'Unsure']","['Unsure', 'Female', 'Unsure']",Unsure,Unsure,Unsure,9.001E+11,25318,val
183391,"['1', 'Unsure', '1']","['Male', 'Unsure', 'Male']",1,Male,Light,9.001E+11,89913,val
184324,"['Unsure', 'Unsure', '1']","['Unsure', 'Male', 'Male']",Unsure,Male,Unsure,9.001E+11,34764,val
184611,"['Unsure', 'Unsure', 'Unsure']","['Male', 'Unsure', 'Unsure']",Unsure,Unsure,Unsure,9.001E+11,11047,val
188465,"['Unsure', 'Unsure', 'Unsure']","['Unsure', 'Male', 'Male']",Unsure,Male,Unsure,9.001E+11,112696,val
189775,"['Unsure', '2', 'Unsure']","['Unsure', 'Male', 'Unsure']",Unsure,Unsure,Unsure,9.001E+11,73978,val
190676,"['Unsure', 'Unsure', '4']","['Unsure', 'Unsure', 'Male']",Unsure,Unsure,Unsure,9.001E+11,7119,val
191845,"['Unsure', 'Unsure', 'Unsure']","['Unsure', 'Unsure', 'Unsure']",Unsure,Unsure,Unsure,9.001E+11,93557,val
193181,"['Unsure', '2', 'Unsure']","['Unsure', 'Male', 'Unsure']",Unsure,Unsure,Unsure,9.001E+11,39259,val
203931,"['Unsure', '1', '2']","['Unsure', 'Male', 'Male']",,Male,,9.001E+11,118012,val
204186,"['Unsure', 'Unsure', 'Unsure']","['Unsure', 'Unsure', 'Unsure']",Unsure,Unsure,Unsure,9.001E+11,22272,val
207844,"['Unsure', 'Unsure', 'Unsure']","['Unsure', 'Unsure', 'Unsure']",Unsure,Unsure,Unsure,9.001E+11,11583,val
208363,"['1', '1', '2']","['Male', 'Male', 'Male']",1,Male,Light,9.001E+11,13766,val
210394,"['Unsure', 'Unsure', 'Unsure']","['Unsure', 'Unsure', 'Unsure']",Unsure,Unsure,Unsure,9.001E+11,7852,val
212800,"['1', 'Unsure', 'Unsure']","['Unsure', 'Unsure', 'Unsure']",Unsure,Unsure,Unsure,9.001E+11,8665,val
214539,"['5', '3', '4']","['Male', 'Male', 'Male']",,Male,Dark,9.001E+11,12810,val
217285,"['Unsure', 'Unsure', 'Unsure']","['Unsure', 'Unsure', 'Unsure']",Unsure,Unsure,Unsure,9.001E+11,104752,val
219271,"['6', 'Unsure', 'Unsure']","['Unsure', 'Unsure', 'Unsure']",Unsure,Unsure,Unsure,9.001E+11,18235,val
224807,"['Unsure', '3', '3']","['Unsure', 'Male', 'Male']",3,Male,Light,9.001E+11,23380,val
229849,"['Unsure', 'Unsure', '1']","['Female', 'Unsure', 'Unsure']",Unsure,Unsure,Unsure,9.001E+11,77421,val
231508,"['3', '3', '3']","['Male', 'Male', 'Male']",3,Male,Light,9.001E+11,13928,val
236426,"['Unsure', '2', '2']","['Unsure', 'Male', 'Male']",2,Male,Light,9.001E+11,21187,val
250282,"['Unsure', 'Unsure', 'Unsure', 'Unsure', 'Unsure']","['Unsure', 'Unsure', 'Unsure', 'Unsure', 'Unsure']",Unsure,Unsure,Unsure,9.001E+11,220834,val
254814,"['Unsure', 'Unsure', 'Unsure']","['Unsure', 'Unsure', 'Unsure']",Unsure,Unsure,Unsure,9.001E+11,42583,val
256192,"['Unsure', 'Unsure', 'Unsure']","['Unsure', 'Unsure', 'Unsure']",Unsure,Unsure,Unsure,9.001E+11,69689,val
259597,"['Unsure', '3', 'Unsure']","['Unsure', 'Male', 'Unsure']",Unsure,Unsure,Unsure,9.001E+11,28188,val
261097,"['Unsure', '5', 'Unsure']","['Unsure', 'Male', 'Unsure']",Unsure,Unsure,Unsure,9.001E+11,72229,val
266892,"['Unsure', '1', 'Unsure', '2', '1']","['Unsure', 'Female', 'Unsure', 'Female', 'Female']",Unsure,Female,Unsure,9.001E+11,53703,val
277005,"['1', '1', 'Unsure']","['Male', 'Male', 'Unsure']",1,Male,Light,9.001E+11,7761,val
279927,"['2', 'Unsure', 'Unsure']","['Unsure', 'Unsure', 'Unsure']",Unsure,Unsure,Unsure,9.001E+11,77983,val
282037,"['1', '2', '2']","['Male', 'Male', 'Male']",2,Male,Light,9.001E+11,9202,val
282298,"['Unsure', 'Unsure', 'Unsure']","['Unsure', 'Unsure', 'Unsure']",Unsure,Unsure,Unsure,9.001E+11,36145,val
283785,"['Unsure', 'Unsure', 'Unsure']","['Unsure', 'Unsure', 'Unsure']",Unsure,Unsure,Unsure,9.001E+11,21193,val
284445,"['Unsure', 'Unsure', 'Unsure']","['Unsure', 'Unsure', 'Unsure']",Unsure,Unsure,Unsure,9.001E+11,6197,val
288685,"['2', '2', 'Unsure']","['Unsure', 'Unsure', 'Unsure']",2,Unsure,Light,9.001E+11,57400,val
290248,"['Unsure', 'Unsure']","['Unsure', 'Unsure']",Unsure,Unsure,Unsure,9.001E+11,44367,val
293200,"['Unsure', '1', 'Unsure']","['Unsure', 'Male', 'Unsure']",Unsure,Unsure,Unsure,9.001E+11,18454,val
299553,"['Unsure', 'Unsure', 'Unsure']","['Unsure', 'Unsure', 'Unsure']",Unsure,Unsure,Unsure,9.001E+11,35325,val
303566,"['Unsure', 'Unsure', 'Unsure']","['Unsure', 'Unsure', 'Unsure']",Unsure,Unsure,Unsure,9.001E+11,18118,val
303713,"['1', 'Unsure', 'Unsure']","['Male', 'Unsure', 'Unsure']",Unsure,Unsure,Unsure,9.001E+11,156020,val
304404,"['Unsure', 'Unsure', 'Unsure']","['Unsure', 'Unsure', 'Unsure']",Unsure,Unsure,Unsure,9.001E+11,36075,val
326248,"['1', 'Unsure', 'Unsure']","['Unsure', 'Unsure', 'Unsure']",Unsure,Unsure,Unsure,9.001E+11,18318,val
329323,"['6', '5', '6']","['Unsure', 'Male', 'Unsure']",6,Unsure,Dark,9.001E+11,44673,val
338304,"['Unsure', 'Unsure', 'Unsure']","['Unsure', 'Unsure', 'Unsure']",Unsure,Unsure,Unsure,9.001E+11,23538,val
343561,"['Unsure', '2', '2']","['Unsure', 'Male', 'Male']",2,Male,Light,9.001E+11,62280,val
350122,"['Unsure', 'Unsure', 'Unsure']","['Unsure', 'Unsure', 'Unsure']",Unsure,Unsure,Unsure,9.001E+11,14757,val
364884,"['Unsure', 'Unsure', 'Unsure']","['Unsure', 'Unsure', 'Unsure']",Unsure,Unsure,Unsure,9.001E+11,43192,val
370486,"['Unsure', '2', 'Unsure']","['Unsure', 'Female', 'Unsure']",Unsure,Unsure,Unsure,9.001E+11,33591,val
373382,"['Unsure', '2', 'Unsure']","['Unsure', 'Unsure', 'Unsure']",Unsure,Unsure,Unsure,9.001E+11,30976,val
376112,"['Unsure', 'Unsure', '2']","['Unsure', 'Unsure', 'Unsure']",Unsure,Unsure,Unsure,9.001E+11,26171,val
376322,"['Unsure', '1', '1']","['Unsure', 'Male', 'Unsure']",1,Unsure,Light,9.001E+11,12561,val
376900,"['4', '2', '3', '3']","['Male', 'Male', 'Male', 'Male']",3,Male,Light,9.001E+11,30796,val
378673,"['3', 'Unsure', 'Unsure']","['Unsure', 'Unsure', 'Unsure']",Unsure,Unsure,Unsure,9.001E+11,11749,val
388846,"['Unsure', 'Unsure', 'Unsure']","['Unsure', 'Unsure', 'Unsure']",Unsure,Unsure,Unsure,9.001E+11,9257,val
390555,"['1', 'Unsure', '2']","['Unsure', 'Unsure', 'Unsure']",,Unsure,,9.001E+11,154898,val
402615,"['Unsure', 'Unsure', '5']","['Unsure', 'Unsure', 'Female']",Unsure,Unsure,Unsure,9.001E+11,90672,val
406611,"['Unsure', 'Unsure', 'Unsure']","['Unsure', 'Unsure', 'Unsure']",Unsure,Unsure,Unsure,9.001E+11,27565,val
410496,"['Unsure', '1', 'Unsure']","['Unsure', 'Male', 'Unsure']",Unsure,Unsure,Unsure,9.001E+11,36348,val
410650,"['Unsure', 'Unsure', 'Unsure']","['Unsure', 'Unsure', 'Unsure']",Unsure,Unsure,Unsure,9.001E+11,41663,val
412894,"['Unsure', '4', 'Unsure']","['Unsure', 'Male', 'Unsure']",Unsure,Unsure,Unsure,9.001E+11,22945,val
414673,"['2', 'Unsure', 'Unsure']","['Unsure', 'Unsure', 'Unsure']",Unsure,Unsure,Unsure,9.001E+11,40506,val
427256,"['4', '4', '6']","['Male', 'Unsure', 'Male']",4,Male,Dark,9.001E+11,37324,val
427997,"['2', '1', '2']","['Female', 'Female', 'Female']",2,Female,Light,9.001E+11,148479,val
438955,"['2', 'Unsure', 'Unsure']","['Unsure', 'Unsure', 'Male']",Unsure,Unsure,Unsure,9.001E+11,7094,val
439180,"['Unsure', 'Unsure', 'Unsure']","['Unsure', 'Unsure', 'Unsure']",Unsure,Unsure,Unsure,9.001E+11,9221,val
439994,"['Unsure', 'Unsure', 'Unsure']","['Unsure', 'Unsure', 'Unsure']",Unsure,Unsure,Unsure,9.001E+11,112181,val
441553,"['Unsure', 'Unsure', 'Unsure']","['Unsure', 'Unsure', 'Unsure']",Unsure,Unsure,Unsure,9.001E+11,14315,val
448263,"['2', 'Unsure', '2']","['Unsure', 'Unsure', 'Male']",2,Unsure,Light,9.001E+11,18419,val
455624,"['2', 'Unsure', 'Unsure']","['Unsure', 'Unsure', 'Unsure']",Unsure,Unsure,Unsure,9.001E+11,5846,val
463542,"['Unsure', 'Unsure', 'Unsure']","['Unsure', 'Unsure', 'Unsure']",Unsure,Unsure,Unsure,9.001E+11,16282,val
476770,"['5', 'Unsure', '2']","['Unsure', 'Unsure', 'Male']",,Unsure,,9.001E+11,100009,val
481390,"['Unsure', 'Unsure', 'Unsure']","['Unsure', 'Unsure', 'Unsure']",Unsure,Unsure,Unsure,9.001E+11,39781,val
484351,"['1', 'Unsure', 'Unsure']","['Male', 'Unsure', 'Unsure']",Unsure,Unsure,Unsure,9.001E+11,15952,val
486104,"['Unsure', 'Unsure', 'Unsure']","['Male', 'Unsure', 'Unsure']",Unsure,Unsure,Unsure,9.001E+11,38904,val
489842,"['1', 'Unsure', 'Unsure']","['Unsure', 'Unsure', 'Unsure']",Unsure,Unsure,Unsure,9.001E+11,137976,val
493905,"['2', 'Unsure', '1']","['Unsure', 'Unsure', 'Unsure']",,Unsure,,9.001E+11,13153,val
360595,"['1', '3', '1']","['Male', 'Male', 'Male']",1,Male,Light,2232188,8563,train
198234,"['1', '1', '1']","['Male', 'Male', 'Male']",1,Male,Light,2229632,25001,train
323355,"['Unsure', '2', '1']","['Unsure', 'Female', 'Male']",,,,2229608,6862,val
82462,"['5', '2', '2']","['Female', 'Female', 'Unsure']",2,Female,Light,2229521,8094,train
570381,"['2', '1', '1']","['Female', 'Female', 'Female']",1,Female,Light,2229467,12693,train
466090,"['5', '5', '6']","['Male', 'Male', 'Male']",5,Male,Dark,2229465,18325,train
231580,"['Unsure', 'Unsure', 'Unsure']","['Unsure', 'Unsure', 'Unsure']",Unsure,Unsure,Unsure,2229456,20821,val
323355,"['1', '1', '2', '1']","['Unsure', 'Female', 'Male', 'Male']",1,,Light,2229452,76231,val
75990,"['2', '1', '1']","['Male', 'Male', 'Male']",1,Male,Light,2229391,12803,train
450845,"['2', '3', '2']","['Male', 'Male', 'Male']",2,Male,Light,2229367,11204,train
255592,"['Unsure', 'Unsure', 'Unsure']","['Male', 'Unsure', 'Male']",Unsure,Male,Unsure,2229230,9908,train
434787,"['Unsure', 'Unsure', '1']","['Unsure', 'Unsure', 'Unsure']",Unsure,Unsure,Unsure,2229164,7663,train
477867,"['Unsure', '3', '3']","['Unsure', 'Male', 'Unsure']",3,Unsure,Light,2229116,7217,train
554892,"['1', '1', '1']","['Female', 'Female', 'Female']",1,Female,Light,2229033,37541,train
187285,"['5', '6', '4']","['Male', 'Male', 'Male']",,Male,Dark,2229030,6667,train
554892,"['2', '2', '2']","['Male', 'Male', 'Male']",2,Male,Light,2228988,21246,train
63563,"['2', '2', 'Unsure']","['Female', 'Unsure', 'Unsure']",2,Unsure,Light,2228889,13755,train
339823,"['2', '2', '3']","['Female', 'Female', 'Female']",2,Female,Light,2228884,93828,val
433984,"['3', '3', '3']","['Male', 'Male', 'Male']",3,Male,Light,2228881,46010,train
120441,"['2', '2', '2']","['Male', 'Male', 'Male']",2,Male,Light,2228880,39749,train
324419,"['1', '1', '1']","['Male', 'Male', 'Male']",1,Male,Light,2228873,41704,train
368961,"['3', 'Unsure', 'Unsure', 'Unsure']","['Female', 'Female', 'Unsure', 'Unsure']",Unsure,Female,Unsure,2208179,21862,val
368961,"['Unsure', '2', 'Unsure']","['Unsure', 'Female', 'Unsure']",Unsure,Unsure,Unsure,2208179,21862,val
276616,"['Unsure', '2', '5']","['Unsure', 'Male', 'Unsure']",,Unsure,,2208159,59532,train
236607,"['Unsure', 'Unsure', 'Unsure']","['Unsure', 'Female', 'Unsure']",Unsure,Unsure,Unsure,2208149,6327,train
419223,"['3', '2', '2']","['Male', 'Male', 'Male']",2,Male,Light,2208140,28400,train
511669,"['1', '2', 'Unsure']","['Female', 'Female', 'Unsure']",,Female,,2208130,7747,train
184181,"['2', 'Unsure', 'Unsure']","['Unsure', 'Unsure', 'Unsure']",Unsure,Unsure,Unsure,2208104,123012,train
289180,"['2', '1', '1']","['Unsure', 'Male', 'Unsure']",1,Unsure,Light,2208077,135902,train
160864,"['2', '1', '3']","['Male', 'Male', 'Male']",,Male,Light,2208075,9073,val
368367,"['Unsure', 'Unsure', 'Unsure']","['Unsure', 'Male', 'Unsure']",Unsure,Unsure,Unsure,2208038,7631,train
289180,"['Unsure', '1', '2']","['Unsure', 'Unsure', 'Unsure']",,Unsure,,2208011,28197,train
331083,"['Unsure', 'Unsure', '6']","['Male', 'Unsure', 'Unsure']",Unsure,Unsure,Unsure,2208006,24812,train
184405,"['2', '4', '3']","['Male', 'Male', 'Male']",,Male,Light,2208003,25465,train
124416,"['2', '4']","['Unsure', 'Female']",,,,2207978,31424,train
423104,"['2', '1', '1']","['Male', 'Male', 'Male']",1,Male,Light,2207910,5747,val
468027,"['Unsure', 'Unsure', '2']","['Unsure', 'Male', 'Unsure']",Unsure,Unsure,Unsure,2207884,7416,train
380459,"['1', '3', '2']","['Female', 'Unsure', 'Unsure']",,Unsure,Light,2207867,51967,train
422640,"['2', '2', '2']","['Male', 'Male', 'Male']",2,Male,Light,2207866,28447,train
73429,"['4', '5', '6']","['Male', 'Male', 'Male']",,Male,Dark,2207782,7325,train
45835,"['2', '3', '2']","['Female', 'Female', 'Female']",2,Female,Light,2207772,38965,train
110560,"['2', '2', '2']","['Male', 'Unsure', 'Unsure']",2,Unsure,Light,2207768,6414,train
116574,"['1', '1', '1']","['Female', 'Female', 'Female']",1,Female,Light,2207739,21174,train
437432,"['Unsure', 'Unsure', 'Unsure']","['Unsure', 'Male', 'Unsure']",Unsure,Unsure,Unsure,2207722,11648,train
34139,"['2', '1', '3']","['Female', 'Female', 'Female']",,Female,Light,2207720,13060,val
457884,"['2', '1', '2']","['Unsure', 'Male', 'Male']",2,Male,Light,2207717,12667,val
127873,"['2', '2', '1']","['Female', 'Female', 'Female']",2,Female,Light,2207651,17856,train
147173,"['1', '1', '2']","['Male', 'Male', 'Male']",1,Male,Light,2207648,8261,train
573750,"['2', '2', '2']","['Male', 'Male', 'Male']",2,Male,Light,2207615,12321,train
495732,"['1', '2', '1']","['Male', 'Male', 'Male']",1,Male,Light,2207605,63337,val
138814,"['4', '3']","['Male', 'Male']",,Male,,2207585,38684,train
190738,"['1', '4', '3']","['Male', 'Unsure', 'Male']",,Male,,2207584,9488,train
28719,"['1', '2', '1']","['Unsure', 'Male', 'Female']",1,Unsure,Light,2207576,10424,train
336049,"['3', '2', '2']","['Male', 'Male', 'Male']",2,Male,Light,2207572,8091,train
359925,"['2', '2', '2']","['Female', 'Female', 'Female']",2,Female,Light,2207562,8088,train
195829,"['3', '2', '2']","['Male', 'Male', 'Male']",2,Male,Light,2207559,10434,train
554433,"['2', '2', '3']","['Male', 'Male', 'Male']",2,Male,Light,2207544,57155,train
355304,"['6', '6', '6']","['Male', 'Male', 'Male']",6,Male,Dark,2207527,15208,train
525702,"['2', '2']","['Female', 'Female']",2,Female,Light,2207526,29266,train
574404,"['2', '2', '4']","['Male', 'Male', 'Male']",2,Male,Light,2207483,21476,train
355871,"['2', 'Unsure', '2']","['Male', 'Unsure', 'Unsure']",2,Unsure,Light,2207470,9687,train
489550,"['Unsure', 'Unsure', 'Unsure']","['Unsure', 'Unsure', 'Unsure']",Unsure,Unsure,Unsure,2207453,16734,train
520778,"['2', '1', '1']","['Male', 'Unsure', 'Unsure']",1,Unsure,Light,2207444,18054,train
462371,"['Unsure', 'Unsure', '1']","['Male', 'Male', 'Male']",Unsure,Male,Unsure,2207384,13264,val
300876,"['2', '2', '2']","['Female', 'Female', 'Female']",2,Female,Light,2207366,40436,train
452218,"['3', '2', '2']","['Female', 'Female', 'Female']",2,Female,Light,2207294,20428,train
510657,"['2', '2', '2']","['Female', 'Unsure', 'Female']",2,Female,Light,2207273,20371,train
468297,"['2', '2', 'Unsure']","['Male', 'Male', 'Male']",2,Male,Light,2207249,12217,train
62230,"['6', '6', '6']","['Male', 'Male', 'Unsure']",6,Male,Dark,2207231,23720,train
330449,"['2', '2', '2']","['Unsure', 'Unsure', 'Unsure']",2,Unsure,Light,2207229,6530,train
285894,"['2', '2', 'Unsure']","['Female', 'Female', 'Unsure']",2,Female,Light,2207226,10218,val
384092,"['4', '3', '4']","['Male', 'Male', 'Male']",4,Male,Dark,2207219,122075,train
543025,"['2', '2', '2']","['Male', 'Male', 'Male']",2,Male,Light,2207210,20451,train
188386,"['2', 'Unsure', '2']","['Male', 'Male', 'Male']",2,Male,Light,2207180,14373,train
46440,"['2', '2', '2']","['Male', 'Unsure', 'Unsure']",2,Unsure,Light,2207172,25426,train
261787,"['1', '2', '2']","['Female', 'Female', 'Female']",2,Female,Light,2207154,104743,train
501281,"['Unsure', 'Unsure', '1']","['Unsure', 'Unsure', 'Female']",Unsure,Unsure,Unsure,2207140,8284,train
410380,"['3', '2', '2']","['Female', 'Female', 'Female']",2,Female,Light,2207133,72001,train
220050,"['1', '2', '2']","['Female', 'Female', 'Female']",2,Female,Light,2207111,56833,train
74951,"['2', '2', 'Unsure']","['Female', 'Female', 'Unsure']",2,Female,Light,2207092,9632,train
333565,"['1', '1', '2']","['Female', 'Female', 'Female']",1,Female,Light,2207080,21043,train
