,image_file,acc,Unnamed: 0,skin_agg,gender_agg,skin,gender,skin_group,area,split
82,558256,1.0,16249,"['1', '1', '1', '1']","['Male', 'Male', 'Male', 'Male']",1,Male,Light,10542,val
83,559122,1.0,58539,"['1', '3', '2']","['Male', 'Male', 'Male']",,Male,Light,71127,val
84,561350,1.0,58539,"['1', '2', '2']","['Male', 'Male', 'Male']",2,Male,Light,49927,val
85,1207651,1.0,459272,"['2', '2', '1']","['Female', 'Female', 'Female']",2,Female,Light,150905,val
86,1209142,1.0,323263,"['3', '4', '3']","['Female', 'Female', 'Female']",3,Female,Light,17237,val
87,1219557,0.8,44279,"['4', '3', '1']","['Male', 'Male', 'Male']",,Male,,16901,val
88,1229062,1.0,44279,"['3', '4', '3']","['Male', 'Male', 'Male']",3,Male,Light,50142,val
89,1254701,0.0,361586,"['Unsure', 'Unsure', 'Unsure']","['Unsure', 'Unsure', 'Unsure']",Unsure,Unsure,Unsure,21512,val
90,1262511,1.0,52996,"['3', '4', '4']","['Female', 'Female', 'Female']",4,Female,Dark,8701,val
91,1263532,0.8888888888888888,52996,"['1', '1']","['Female', 'Unsure']",1,,Light,10992,val
92,1278893,0.8888888888888888,199771,"['6', '6', '6']","['Male', 'Male', 'Male']",6,Male,Dark,23755,val
93,1301290,1.0,267537,"['Unsure', '1', 'Unsure', '4', '3']","['Male', 'Male', 'Unsure', 'Male', 'Unsure']",Unsure,Male,Unsure,16678,val
94,1316018,1.0,276018,"['2', 'Unsure', '2']","['Unsure', 'Unsure', 'Male']",2,Unsure,Light,13268,val
95,1317625,0.9230769230769232,267537,"['Unsure', 'Unsure', 'Unsure']","['Male', 'Male', 'Male']",Unsure,Male,Unsure,8533,val
96,1693074,1.0,560474,"['1', '2', '1']","['Female', 'Female', 'Female']",1,Female,Light,9252,val
97,1711040,1.0,550714,"['2', '2', '2']","['Female', 'Female', 'Female']",2,Female,Light,172330,val
98,1721711,1.0,52996,"['5', '5', '2']","['Female', 'Female', 'Female']",5,Female,Dark,20616,val
99,1722650,1.0,232649,"['3', '2', '2']","['Female', 'Female', 'Female']",2,Female,Light,6705,val
100,1736013,1.0,173799,"['4', '5', '5']","['Male', 'Male', 'Unsure']",5,Male,Dark,24423,val
101,1749215,1.0,419974,"['1', '2', 'Unsure']","['Male', 'Male', 'Male']",,Male,,31509,val
102,2150824,0.9090909090909092,29187,"['2', '3', '3']","['Unsure', 'Unsure', 'Unsure']",3,Unsure,Light,10023,val
103,2151642,0.8666666666666667,403565,"['2', '2', '1']","['Male', 'Male', 'Male']",2,Male,Light,11750,val
104,2152991,1.0,479126,"['1', '3', '3', '3', '1']","['Female', 'Female', 'Female', 'Female', 'Female']",3,Female,Light,15172,val
105,2154820,1.0,504074,"['4', 'Unsure', '4']","['Female', 'Female', 'Female']",4,Female,Dark,41966,val
106,2156225,1.0,84241,"['2', '2', '3']","['Female', 'Female', 'Female']",2,Female,Light,25633,val
107,183777,1.0,13177,"['4', '4', '3']","['Male', 'Male', 'Male']",4,Male,Dark,62508,val
108,184179,1.0,245448,"['6', '6', '6']","['Male', 'Male', 'Male']",6,Male,Dark,5945,val
109,187537,0.9230769230769232,499622,"['2', '2', '2']","['Male', 'Male', 'Male']",2,Male,Light,11048,val
110,189674,1.0,284698,"['2', '2', '3', '2', '2']","['Male', 'Male', 'Male', 'Male', 'Male']",2,Male,Light,19042,val
111,189717,1.0,342367,"['2', '3', '3']","['Male', 'Male', 'Male']",3,Male,Light,22562,val
112,189840,0.9375,363875,"['3', '3', '4']","['Male', 'Male', 'Male']",3,Male,Light,48755,val
113,190306,1.0,214720,"['3', '3', '3']","['Male', 'Male', 'Male']",3,Male,Light,20968,val
114,191818,1.0,381639,"['1', '2']","['Female', 'Female']",,Female,,23357,val
115,191880,1.0,230008,"['Unsure', '3', '2']","['Male', 'Male', 'Male']",,Male,,12692,val
116,192560,1.0,194875,"['1', '3', '1']","['Male', 'Male', 'Male']",1,Male,Light,5752,val
117,192858,1.0,163746,"['2', '1', '1']","['Female', 'Female', 'Female']",1,Female,Light,18567,val
118,192956,1.0,319534,"['6', 'Unsure', '6', '6', '6']","['Male', 'Male', 'Male', 'Male', 'Male']",6,Male,Dark,42356,val
119,192956,1.0,319534,"['5', '6', '6', '6', '6', '6', '6', '5', '6', '6', '6', '6', '6', '5', '6', '6', '6', '5', '6', '6', '6', '6', '6', '6', '5', '5', '6', '6', '5', '5', '6', '5', '5', '6', '6', '6', '6', '6', '6', '5', '5', '6', '6', '6', '5', '6', '6', '5', '6', '5', '6', '6', '6', '5', '6', '5', '6', '5', '5', '5', 'Unsure', '6', '5', '6', '6', '5', '6', '6', '6', '5', '6', '5', '6', '6', '6', '6', '5', '6', '5', '6', '6', '6', '5', '5', '5', '5', '6', '5', '5', '5', '5', '6', '6', '5', '5', '6', '6', '5', '5', '6', '6', '6', '6', '5', '5', '5', '6', '5', '6', '6', '5', '6', '6', '6', '6', '5', '5', '5', '5', '6']","['Male', 'Male', 'Male', 'Male', 'Male', 'Male', 'Male', 'Male', 'Male', 'Male', 'Male', 'Male', 'Male', 'Male', 'Male', 'Male', 'Male', 'Male', 'Male', 'Male', 'Male', 'Male', 'Male', 'Male', 'Male', 'Male', 'Male', 'Male', 'Male', 'Male', 'Male', 'Male', 'Male', 'Male', 'Male', 'Male', 'Male', 'Male', 'Male', 'Male', 'Male', 'Male', 'Male', 'Male', 'Male', 'Male', 'Male', 'Male', 'Male', 'Male', 'Female', 'Male', 'Male', 'Male', 'Male', 'Male', 'Male', 'Male', 'Male', 'Male', 'Male', 'Male', 'Male', 'Male', 'Male', 'Male', 'Male', 'Male', 'Male', 'Male', 'Male', 'Male', 'Male', 'Male', 'Male', 'Male', 'Male', 'Male', 'Male', 'Male', 'Male', 'Male', 'Male', 'Male', 'Male', 'Male', 'Male', 'Male', 'Male', 'Male', 'Male', 'Male', 'Male', 'Male', 'Male', 'Male', 'Male', 'Male', 'Male', 'Male', 'Male', 'Male', 'Male', 'Male', 'Male', 'Male', 'Male', 'Male', 'Male', 'Male', 'Male', 'Male', 'Male', 'Male', 'Male', 'Male', 'Male', 'Male', 'Male', 'Male']",6,,Dark,42356,val
120,195043,1.0,187249,"['4', 'Unsure', 'Unsure']","['Unsure', 'Male', 'Male']",Unsure,Male,Unsure,30790,val
121,200151,1.0,8690,"['4', '2', '3']","['Female', 'Female', 'Male']",,,Light,25664,val
122,202541,0.9166666666666666,538364,"['Unsure', '5', '2']","['Unsure', 'Male', 'Male']",,Male,,6983,val
123,203697,1.0,446651,"['Unsure', '1']","['Male', 'Unsure']",,,,54603,val
124,205810,1.0,372819,"['1', 'Unsure']","['Female', 'Unsure']",,,,5746,val
125,206961,0.8823529411764706,102356,"['2', '1', '2']","['Female', 'Female', 'Female']",2,Female,Light,30699,val
126,209351,0.9,210032,"['1', '2', '1']","['Female', 'Female', 'Female']",1,Female,Light,6617,val
127,209691,1.0,198928,"['1', '1', 'Unsure']","['Female', 'Female', 'Female']",1,Female,Light,6422,val
128,210437,0.875,147740,"['2', '3', '3', '2', '3']","['Male', 'Male', 'Male', 'Female', 'Male']",3,,Light,9745,val
129,210437,0.875,147740,"['Unsure', '4', '3']","['Male', 'Male', 'Male']",,Male,,9745,val
130,212801,1.0,333402,"['2', '2', '1']","['Male', 'Male', 'Male']",2,Male,Light,8972,val
131,214122,1.0,245448,"['2', '1', '6']","['Male', 'Male', 'Male']",,Male,,9176,val
132,216213,0.8461538461538461,94871,"['2', '2', '3']","['Unsure', 'Male', 'Male']",2,Male,Light,10026,val
133,220590,1.0,491090,"['2', '1']","['Unsure', 'Female']",,,,36546,val
134,221722,1.0,192699,"['1', '2', '2']","['Female', 'Male', 'Unsure']",2,,Light,42868,val
135,222088,0.9333333333333332,534827,"['3', '3', 'Unsure']","['Male', 'Male', 'Male']",3,Male,Light,8169,val
136,225494,1.0,163746,"['1', '1', '1']","['Female', 'Female', 'Female']",1,Female,Light,17558,val
137,228944,0.875,145620,"['Unsure', 'Unsure', 'Unsure']","['Unsure', 'Male', 'Male']",Unsure,Male,Unsure,7136,val
138,229066,0.9166666666666666,570539,"['3', '1', '1', '2']","['Male', 'Male', 'Male', 'Male']",1,Male,Light,16313,val
139,229470,0.8571428571428571,545219,"['Unsure', '4', 'Unsure']","['Unsure', 'Male', 'Unsure']",Unsure,Unsure,Unsure,6946,val
140,232027,0.9166666666666666,275749,"['2', '2', '2']","['Unsure', 'Male', 'Male']",2,Male,Light,8096,val
141,233745,1.0,163746,"['1', '2', '3']","['Female', 'Female', 'Female']",,Female,Light,5636,val
142,423534,0.8571428571428571,150265,"['4', '3', '1']","['Female', 'Female', 'Unsure']",,Female,,33696,val
143,423685,0.75,517069,"['Unsure', '4', '3']","['Female', 'Female', 'Female']",,Female,,16604,val
144,424270,0.6666666666666666,341921,"['3', '4', '4']","['Unsure', 'Male', 'Male']",4,Male,Dark,7653,val
145,425732,1.0,389812,"['4', '5', '4']","['Male', 'Male', 'Male']",4,Male,Dark,73482,val
146,431640,1.0,88848,"['1', '4', '2']","['Female', 'Female', 'Female']",,Female,,6226,val
147,436397,0.7777777777777778,215723,"['Unsure', '2', '1']","['Male', 'Male', 'Male']",,Male,,10606,val
148,437327,1.0,202339,"['3', '2', '1']","['Male', 'Male', 'Male']",,Male,Light,28108,val
149,438099,1.0,222118,"['1', '2', '1']","['Female', 'Female', 'Female']",1,Female,Light,38739,val
150,439559,0.9411764705882352,327601,"['4', '4', '4']","['Female', 'Female', 'Female']",4,Female,Dark,35009,val
151,445625,1.0,386912,"['2', '1', '2']","['Female', 'Female', 'Female']",2,Female,Light,32971,val
152,448149,1.0,21839,"['2', '2', 'Unsure']","['Female', 'Female', 'Unsure']",2,Female,Light,6632,val
153,453999,1.0,408696,"['3', '2', '1']","['Male', 'Male', 'Male']",,Male,Light,49633,val
154,454433,0.75,186449,"['Unsure', '1', 'Unsure']","['Female', 'Unsure', 'Female']",Unsure,Female,Unsure,7011,val
155,462163,1.0,273132,"['Unsure', '1', '1']","['Female', 'Female', 'Female']",1,Female,Light,94522,val
156,462492,0.7142857142857143,126226,"['Unsure', 'Unsure', '2']","['Male', 'Unsure', 'Male']",Unsure,Male,Unsure,20073,val
157,463569,1.0,60347,"['2', '1', '2']","['Male', 'Male', 'Male']",2,Male,Light,33724,val
158,464416,1.0,132587,"['Unsure', 'Unsure', '1']","['Male', 'Male', 'Male']",Unsure,Male,Unsure,39467,val
159,467372,0.8888888888888888,571718,"['Unsure', 'Unsure', 'Unsure']","['Unsure', 'Male', 'Male']",Unsure,Male,Unsure,45698,val
160,472118,1.0,391375,"['2', '1']","['Female', 'Female']",,Female,,14569,val
161,483966,0.6363636363636364,215723,"['Unsure', '2', '2']","['Male', 'Male', 'Male']",2,Male,Light,9426,val
162,488552,1.0,295713,"['1', '1', '1']","['Female', 'Female', 'Female']",1,Female,Light,16821,val
163,495052,1.0,547336,"['1', '1', '1']","['Female', 'Female', 'Female']",1,Female,Light,83707,val
164,501335,0.7692307692307693,88848,"['3', '4', '3']","['Female', 'Female', 'Female']",3,Female,Light,13785,val
165,506755,0.9375,87144,"['1', '3', '3']","['Female', 'Female', 'Female']",3,Female,Light,27362,val
166,510848,0.8666666666666667,227478,"['Unsure', 'Unsure', 'Unsure']","['Female', 'Female', 'Female']",Unsure,Female,Unsure,20649,val
167,513292,0.6666666666666666,240049,"['1', '1', '2']","['Female', 'Unsure', 'Female']",1,Female,Light,56827,val
168,1217205,0.75,517069,"['2', '2', '2']","['Male', 'Female', 'Female']",2,,Light,19129,val
169,1226416,0.8461538461538461,288584,"['3', '2', '3']","['Male', 'Male', 'Male']",3,Male,Light,9445,val
170,1231062,0.9285714285714286,480021,"['2', '2', '4']","['Male', 'Male', 'Male']",2,Male,Light,33116,val
171,1244338,0.7777777777777778,545219,"['3', 'Unsure', '2']","['Male', 'Unsure', 'Female']",,,,11909,val
172,1248222,0.9375,480021,"['Unsure', '2', 'Unsure']","['Male', 'Male', 'Unsure']",Unsure,Male,Unsure,9064,val
173,1256530,0.75,480021,"['2', '1', 'Unsure', '3', '3']","['Male', 'Male', 'Male', 'Male', 'Male']",3,Male,Light,10889,val
174,1290320,0.7692307692307693,109900,"['6', '6', '6']","['Male', 'Male', 'Male']",6,Male,Dark,7631,val
175,1291536,1.0,288584,"['1', '2', '1']","['Male', 'Male', 'Male']",1,Male,Light,11929,val
176,1687172,1.0,163746,"['2', '2', '2']","['Female', 'Female', 'Female']",2,Female,Light,6661,val
177,1691631,0.8461538461538461,203389,"['Unsure', '4', '4']","['Unsure', 'Male', 'Unsure']",4,Unsure,Dark,19416,val
178,1701241,1.0,203389,"['3', '5', '5', '4']","['Male', 'Male', 'Male', 'Male']",5,Male,Dark,20688,val
179,1710319,1.0,144003,"['3', '2', '1']","['Male', 'Male', 'Male']",,Male,Light,7276,val
180,1714559,0.875,94326,"['Unsure', 'Unsure', 'Unsure']","['Female', 'Male', 'Unsure']",Unsure,,Unsure,12833,val
181,1728930,1.0,42102,"['2', '2', '1']","['Male', 'Male', 'Unsure']",2,Male,Light,70895,val
182,1736748,1.0,280710,"['6', '6', '6']","['Unsure', 'Male', 'Unsure']",6,Unsure,Dark,11411,val
183,1738455,1.0,342367,"['1', '1', '1']","['Female', 'Female', 'Female']",1,Female,Light,11068,val
184,1744670,1.0,87144,"['3', '1', '2']","['Female', 'Female', 'Female']",,Female,Light,6707,val
185,2151979,1.0,88848,"['3', '4', '3', '4']","['Male', 'Male', 'Male', 'Male']",3,Male,Light,7307,val
186,2155355,1.0,147740,"['3', '4', '3', 'Unsure', '3']","['Female', 'Female', 'Unsure', 'Unsure', 'Unsure']",3,Unsure,Light,17935,val
187,2155355,1.0,147740,"['Unsure', '2', '3']","['Unsure', 'Unsure', 'Female']",,Unsure,,17935,val
188,2155619,1.0,143931,"['2', '1', '2']","['Male', 'Male', 'Male']",2,Male,Light,5799,val
189,2157397,1.0,17905,"['2', '1', '1']","['Male', 'Male', 'Male']",1,Male,Light,23736,val
190,2163098,1.0,192699,"['2', '2', '2']","['Female', 'Unsure', 'Female']",2,Female,Light,60023,val
191,2164049,1.0,340451,"['Unsure', '2', '1']","['Unsure', 'Unsure', 'Unsure']",,Unsure,,27749,val
192,2165323,0.875,457078,"['Unsure', 'Unsure', 'Unsure']","['Unsure', 'Unsure', 'Unsure']",Unsure,Unsure,Unsure,30324,val
193,183910,1.0,494188,"['2', '2', '1', '1', '1']","['Female', 'Unsure', 'Female', 'Male', 'Male']",1,,Light,13740,val
194,184384,1.0,484893,"['2', '1', '1']","['Male', 'Male', 'Male']",1,Male,Light,60956,val
195,184465,1.0,525155,"['2', '1', '2']","['Male', 'Male', 'Male']",2,Male,Light,53457,val
196,184735,1.0,284991,"['1', '2', '2']","['Male', 'Male', 'Male']",2,Male,Light,138676,val
197,186081,0.8,25560,"['3', '1', '2']","['Male', 'Male', 'Male']",,Male,Light,18871,val
198,186114,1.0,439715,"['2', '2', '1']","['Male', 'Male', 'Male']",2,Male,Light,7855,val
199,186499,0.9285714285714286,375493,"['2', '1', '2']","['Female', 'Female', 'Female']",2,Female,Light,32248,val
200,188808,0.7142857142857143,395388,"['3', 'Unsure', 'Unsure']","['Male', 'Male', 'Unsure']",Unsure,Male,Unsure,25694,val
201,188853,0.8666666666666667,76547,"['2', '2', '2']","['Male', 'Male', 'Male']",2,Male,Light,17851,val
202,189642,0.8571428571428571,258911,"['2', '1', 'Unsure', '1', '2']","['Female', 'Female', 'Unsure', 'Female', 'Female']",2,Female,Light,13901,val
203,190238,0.9230769230769232,527616,"['1', '1', '1']","['Male', 'Male', 'Male']",1,Male,Light,7895,val
204,190818,1.0,50145,"['4', '5', 'Unsure']","['Male', 'Male', 'Male']",,Male,,15244,val
205,190904,1.0,311392,"['2', '2', '1']","['Male', 'Male', 'Male']",2,Male,Light,6554,val
206,193457,0.7272727272727273,572462,"['1', '1', '2']","['Male', 'Unsure', 'Male']",1,Male,Light,12507,val
207,195072,1.0,413395,"['1', '1']","['Male', 'Male']",1,Male,Light,54706,val
208,195791,1.0,406997,"['3', '2', '2']","['Female', 'Female', 'Female']",2,Female,Light,19730,val
209,197038,1.0,1268,"['2', '2', '3', '3']","['Unsure', 'Female', 'Female', 'Female']",2,Female,Light,23491,val
210,199407,0.875,13659,"['1', '1', '1']","['Male', 'Male', 'Male']",1,Male,Light,36192,val
211,201643,1.0,13659,"['2', 'Unsure', '2']","['Male', 'Unsure', 'Male']",2,Male,Light,7141,val
212,204344,1.0,117525,"['2', '3', '3']","['Male', 'Male', 'Male']",3,Male,Light,85443,val
213,205158,1.0,140203,"['2', 'Unsure', '1']","['Female', 'Female', 'Female']",,Female,,8131,val
